player_id,team_id,season_id,G,GS,MP,FG,FGA,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Exp,Salary
21,1,1,76,76,36.0,7.4,18.1,.491,6.5,7.4,.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,6,"$43,031,940"
8,1,1,36,36,35.7,7.5,15.1,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,3,"$4,510,905"
5,1,1,76,76,33.8,6.0,12.1,.536,1.1,1.8,.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,2,"$6,059,520"
7,1,1,37,4,28.8,6.1,13.3,.560,4.1,4.8,.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,5,
15,1,1,74,40,27.9,5.2,9.2,.602,2.2,2.9,.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,4,"$14,000,000"
19,1,1,1,0,27.0,6.0,12.0,.708,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,17.0,1,
10,1,1,26,0,26.6,5.6,11.6,.558,2.0,2.8,.722,0.7,3.0,3.7,2.9,0.9,0.5,1.0,2.0,14.9,8,"$16,615,384"
2,1,1,24,0,24.9,3.5,9.3,.469,1.3,1.4,.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,7,
17,1,1,75,73,24.6,4.8,10.4,.537,1.4,2.0,.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,12.6,R,"$12,569,040"
14,1,1,28,2,23.0,4.3,9.7,.581,0.8,1.0,.793,0.5,2.5,3.0,1.6,0.4,0.3,1.2,2.6,12.1,8,"$8,500,000"
11,1,1,30,1,22.7,3.9,7.3,.619,0.8,1.2,.667,1.2,1.9,3.1,2.1,0.6,0.1,0.7,2.0,9.8,5,"$11,423,077"
4,1,1,55,41,21.4,4.0,7.1,.559,0.9,1.8,.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,10,"$22,265,280"
