team_id,season_id,conference,rank,coach,PTS/G,OppPTS/G,SRS,Pace,ORtg,DRtg,NetRtg,championship_odds,attendace_total,wins,losses
1,1,Eastern Conference,8,Quin Snyder,118.2,119.3,1.41,102.6,114.6,115.7,1.1,+50000,657613,40,42
1,2,Eastern Conference,10,Quin Snyder,118.3,120.5,2.38,100.1,117.2,119.4,2.2,+8000,696418,36,46
1,3,Eastern Conference,8,Nate McMillan,118.4,118.1,0.32,100.7,116.6,116.3,0.3,+5000,719787,41,41
1,4,Eastern Conference,9,Nate McMillan,113.9,112.4,1.55,97.7,116.5,114.9,1.6,+3500,672742,43,39
1,5,Eastern Conference,5,Lloyd Pierce,113.7,111.4,2.14,97.6,115.7,113.3,2.4,+10000,59288,41,31
1,6,Eastern Conference,14,Lloyd Pierce,111.8,119.7,7.71,103.0,107.2,114.8,7.6,+25000,545453,20,47
1,7,Eastern Conference,12,Lloyd Pierce,113.3,119.4,6.06,103.9,108.1,113.9,5.7,+150000,628440,29,53
2,1,Eastern Conference,2,Joe Mazzulla,116.3,107.2,8.28,95.7,120.6,111.1,9.4,+325,785396,61,21
2,2,Eastern Conference,1,Joe Mazzulla,120.6,109.2,10.74,97.2,123.2,111.6,11.6,+450,785396,64,18
2,3,Eastern Conference,2,Joe Mazzulla,117.9,111.4,6.38,98.5,118.0,111.5,6.5,+500,785396,57,25
2,4,Eastern Conference,2,Ime Udoka,111.8,104.5,7.02,96.6,114.4,106.9,7.5,+4000,785396,51,31
2,5,Eastern Conference,7,Brad Stevens,112.6,111.2,1.31,98.3,114.0,112.5,1.5,+1400,30067,36,36
2,6,Eastern Conference,3,Brad Stevens,113.7,107.3,5.83,99.5,113.3,107.0,6.3,+2900,610864,48,24
2,7,Eastern Conference,4,Brad Stevens,112.4,108.0,3.90,99.6,112.2,107.8,4.4,+620,763584,49,33
3,1,Eastern Conference,12,ndez Torres,105.1,112.2,6.95,96.4,108.5,115.8,7.3,+100000,713304,26,56
3,2,Eastern Conference,11,Jacque Vaughn,110.4,113.3,3.02,96.9,113.2,116.1,3.0,+12500,720291,32,50
3,3,Eastern Conference,6,Steve Nash,113.4,112.5,1.03,98.3,115.0,114.1,0.9,+700,724439,45,37
3,4,Eastern Conference,7,Steve Nash,112.9,112.1,0.82,99.0,113.6,112.8,0.8,+240,711539,44,38
3,5,Eastern Conference,2,Steve Nash,118.6,114.1,4.24,99.5,118.3,113.8,4.5,+600,30491,48,24
3,6,Eastern Conference,7,Kenny Atkinson,111.8,112.3,1.01,101.4,108.9,109.5,0.6,+5500,524907,35,37
3,7,Eastern Conference,6,Kenny Atkinson,112.2,112.3,0.40,100.8,109.6,109.7,0.1,+125000,612597,42,40
4,1,Eastern Conference,14,Charles Lee,105.1,114.2,9.10,97.6,107.3,116.6,9.3,+100000,703935,19,63
4,2,Eastern Conference,13,Steve Clifford,106.6,116.8,10.12,97.3,109.3,119.8,10.5,+50000,674400,21,61
4,3,Eastern Conference,14,Steve Clifford,111.0,117.2,5.89,100.8,109.2,115.3,6.1,+15000,702052,27,55
4,4,Eastern Conference,10,James Borrego,115.3,114.9,0.53,100.0,114.1,113.7,0.4,+10000,700755,43,39
4,5,Eastern Conference,10,James Borrego,109.5,111.4,1.94,98.3,110.9,112.8,2.0,+25000,68255,33,39
4,6,Eastern Conference,9,James Borrego,102.9,109.6,7.03,95.8,106.3,113.3,7.0,+200000,478591,23,42
4,7,Eastern Conference,9,James Borrego,110.7,111.8,1.32,98.7,111.4,112.5,1.1,+50000,676570,39,43
5,1,Eastern Conference,9,Billy Donovan,117.8,119.4,1.83,102.8,114.1,115.6,1.5,+100000,825659,39,43
5,2,Eastern Conference,9,Billy Donovan,112.3,113.7,1.76,96.3,114.9,116.3,1.5,+12500,845620,39,43
5,3,Eastern Conference,10,Billy Donovan,113.1,111.8,1.37,98.5,113.5,112.2,1.3,+4000,841632,40,42
5,4,Eastern Conference,6,Billy Donovan,111.6,112.0,0.38,98.3,113.2,113.6,0.4,+6600,856148,46,36
5,5,Eastern Conference,11,Billy Donovan,110.7,111.6,0.94,99.0,111.1,112.0,0.9,+25000,13655,31,41
5,6,Eastern Conference,11,Jim Boylen,106.8,109.9,4.00,99.7,106.7,109.8,3.1,+42500,639352,22,43
5,7,Eastern Conference,13,Fred Hoiberg,104.9,113.4,8.32,99.0,104.8,113.2,8.4,+50000,823475,22,60
6,1,Eastern Conference,1,Kenny Atkinson,121.9,112.4,8.81,99.8,121.7,112.2,9.5,+3500,796712,64,18
6,2,Eastern Conference,4,Bickerstaff,112.6,110.2,1.98,97.2,115.2,112.7,2.5,+2500,793167,48,34
6,3,Eastern Conference,4,Bickerstaff,112.3,106.9,5.23,95.7,116.1,110.6,5.6,+3000,777280,51,31
6,4,Eastern Conference,8,Bickerstaff,107.8,105.7,2.04,96.1,111.9,109.7,2.2,+50000,758228,44,38
6,5,Eastern Conference,13,Bickerstaff,103.8,112.3,8.19,97.3,105.8,114.4,8.6,+50000,91476,22,50
6,6,Eastern Conference,15,Bickerstaff,106.9,114.8,7.77,98.7,107.5,115.4,7.9,+150000,643008,19,46
6,7,Eastern Conference,14,Tyronn Lue,104.5,114.1,9.39,96.6,107.7,117.6,9.9,+50000,793337,19,63
7,1,Western Conference,10,Jason Kidd,114.2,115.4,0.74,99.2,114.8,116.0,1.2,+1100,803174,39,43
7,2,Western Conference,5,Jason Kidd,117.9,115.6,2.30,100.1,117.6,115.4,2.2,+2500,828897,50,32
7,3,Western Conference,11,Jason Kidd,114.2,114.1,0.14,96.6,116.8,116.7,0.1,+2500,827282,38,44
7,4,Western Conference,4,Jason Kidd,108.0,104.7,3.12,95.4,112.8,109.4,3.5,+3000,808037,52,30
7,5,Western Conference,5,Rick Carlisle,112.4,110.2,2.26,97.3,115.4,113.0,2.3,+2500,94849,42,30
7,6,,,,,,,,,,,,,43,32
7,7,Western Conference,14,Rick Carlisle,108.9,110.1,0.86,99.0,109.4,110.7,1.3,+35000,820569,33,49
8,1,Western Conference,4,Michael Malone,120.8,116.9,3.97,99.8,119.9,116.0,3.9,+1100,811211,50,32
8,2,Western Conference,2,Michael Malone,114.9,109.6,5.23,96.8,118.5,113.0,5.4,+450,807062,57,25
8,3,Western Conference,1,Michael Malone,115.8,112.5,3.04,98.1,117.6,114.2,3.4,+1800,788635,53,29
8,4,Western Conference,6,Michael Malone,112.7,110.4,2.15,97.8,114.5,112.1,2.3,+2200,695262,48,34
8,5,Western Conference,3,Michael Malone,115.1,110.1,4.82,97.1,117.1,112.1,5.0,+1800,54563,47,25
8,6,Western Conference,3,Michael Malone,111.3,109.2,2.35,97.1,113.1,111.0,2.1,+2000,633153,46,27
8,7,Western Conference,2,Michael Malone,110.7,106.7,4.19,97.7,113.0,108.9,4.0,+20000,756457,54,28
9,1,Eastern Conference,6,Bickerstaff,115.5,113.6,1.73,99.8,115.0,113.1,1.9,+100000,781929,44,38
9,2,Eastern Conference,15,Monty Williams,109.9,119.0,9.06,99.8,109.7,118.8,9.1,+50000,726378,14,68
9,3,Eastern Conference,15,Dwane Casey,110.3,118.5,7.73,99.0,110.7,118.9,8.2,+50000,759715,17,65
9,4,Eastern Conference,14,Dwane Casey,104.8,112.5,7.36,98.4,106.0,113.8,7.8,+50000,663556,23,59
9,5,Eastern Conference,15,Dwane Casey,106.6,111.1,4.38,97.9,108.0,112.5,4.5,+50000,14250,20,52
9,6,Eastern Conference,13,Dwane Casey,107.2,110.8,4.38,97.6,109.0,112.7,3.6,+25000,509469,20,46
9,7,Eastern Conference,8,Dwane Casey,107.0,107.3,0.56,97.4,109.0,109.2,0.2,+35000,675963,41,41
10,1,Western Conference,7,Steve Kerr,113.8,110.5,3.56,98.7,115.0,111.7,3.3,+4000,740624,48,34
10,2,Western Conference,10,Steve Kerr,117.8,115.2,2.77,99.2,117.8,115.2,2.6,+1200,740624,46,36
10,3,Western Conference,6,Steve Kerr,118.9,117.1,1.66,101.6,116.1,114.4,1.8,+600,740624,44,38
10,4,Western Conference,3,Steve Kerr,111.0,105.5,5.52,98.4,112.5,106.9,5.6,+900,740624,53,29
