season_id,award_id,name,team,player_id
1,1,Shai Gilgeous-Alexander,OKC,745
2,1,Nikola Jokic,DEN,483
3,1,Joel Embiid,PHI,1020
4,1,Nikola Jokic,DEN,483
5,1,Nikola Jokic,DEN,483
6,1,Giannis Antetokounmpo,MIL,849
7,1,Giannis Antetokounmpo,MIL,849
8,1,James Harden,HOU,209
9,1,Russell Westbrook,OKC,493
10,1,Stephen Curry,GSW,588
11,1,Stephen Curry,GSW,588
12,1,Kevin Durant,OKC,190
13,1,LeBron James,MIA,755
14,1,LeBron James,MIA,755
15,1,Derrick Rose,CHI,573
16,1,LeBron James,CLE,755
17,1,LeBron James,CLE,755
18,1,Kobe Bryant,LAL,
19,1,Dirk Nowitzki,DAL,476
20,1,Steve Nash,PHO,
21,1,Steve Nash,PHO,
22,1,Kevin Garnett,MIN,
23,1,Tim Duncan,SAS,
24,1,Tim Duncan,SAS,
25,1,Allen Iverson,PHI,
26,1,Shaquille O'Neal,LAL,
27,1,Karl Malone,UTA,
28,1,Michael Jordan,CHI,
29,1,Karl Malone,UTA,
30,1,Michael Jordan,CHI,
31,1,David Robinson,SAS,
32,1,Hakeem Olajuwon,HOU,
33,1,Charles Barkley,PHO,
34,1,Michael Jordan,CHI,
35,1,Michael Jordan,CHI,
36,1,Magic Johnson,LAL,
37,1,Magic Johnson,LAL,
38,1,Michael Jordan,CHI,
39,1,Magic Johnson,LAL,
40,1,Larry Bird,BOS,
41,1,Larry Bird,BOS,
42,1,Larry Bird,BOS,
43,1,Moses Malone,PHI,
44,1,Moses Malone,HOU,
45,1,Julius Erving,PHI,
46,1,Kareem Abdul-Jabbar,LAL,
47,1,Moses Malone,HOU,
48,1,Bill Walton,POR,
49,1,Kareem Abdul-Jabbar,LAL,
50,1,Kareem Abdul-Jabbar,LAL,
51,1,Bob McAdoo,BUF,
52,1,Kareem Abdul-Jabbar,MIL,
53,1,Dave Cowens,BOS,
54,1,Kareem Abdul-Jabbar,MIL,
55,1,Kareem Abdul-Jabbar,MIL,
56,1,Willis Reed,NYK,
57,1,Wes Unseld,BAL,
58,1,Wilt Chamberlain,PHI,
59,1,Wilt Chamberlain,PHI,
60,1,Wilt Chamberlain,PHI,
61,1,Bill Russell,BOS,
62,1,Oscar Robertson,CIN,
63,1,Bill Russell,BOS,
64,1,Bill Russell,BOS,
65,1,Bill Russell,BOS,
66,1,Wilt Chamberlain,PHW,
67,1,Bob Pettit,STL,
68,1,Bill Russell,BOS,
69,1,Bob Cousy,BOS,
70,1,Bob Pettit,STL,
