id,Player,Pos,Ht,Wt,Birth Date,Birth,College
1,Dominick Barlow,SF,6-9,221,"May 26, 2003",us US,
2,Bogdan Bogdanovic,SG,6-5,220,"August 18, 1992",rs RS,
3,Kobe Bufkin,SG,6-4,195,"September 21, 2003",us US,Michigan
4,Clint Capela,C,6-10,240,"May 18, 1994",ch CH,
5,Dyson Daniels,SG,6-8,199,"March 17, 2003",au AU,
6,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",sn SN,Washington State
7,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us US,Virginia
8,Jalen Johnson,SF,6-9,220,"December 18, 2001",us US,Duke
9,Vit Krejci,PG,6-8,195,"June 19, 2000",cz CZ,
10,Caris LeVert,SG,6-6,205,"August 25, 1994",us US,Michigan
11,Terance Mann,SG,6-5,215,"October 18, 1996",us US,Florida State
12,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,Lipscomb
13,Larry Nance Jr.,PF,6-8,245,"January 1, 1993",us US,Wyoming
14,Georges Niang,PF,6-7,230,"June 17, 1993",us US,Iowa State
15,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us US,USC
16,Daeqwon Plowden,SG,6-6,215,"August 29, 1998",us US,Bowling Green
17,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",es ES,
18,David Roddy,PF,6-4,255,"March 27, 2001",us US,Colorado State
19,Jacob Toppin,SF,6-9,205,"May 8, 2000",us US,"Rhode Island, Kentucky"
20,Keaton Wallace,PG,6-3,195,"February 26, 1999",us US,Texas-San Antonio
21,Trae Young,PG,6-1,164,"September 19, 1998",us US,Oklahoma
22,Saddiq Bey,SF,6-7,215,"April 9, 1999",us US,Villanova
23,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,Maryland
24,Trent Forrest,SG,6-4,210,"June 12, 1998",us US,Florida State
25,AJ Griffin,SF,6-6,222,"August 25, 2003",us US,Duke
26,Seth Lundy,SF,6-6,220,"April 2, 2000",us US,Penn State
27,Wesley Matthews,SG,6-5,220,"October 14, 1986",us US,Marquette
28,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,Saint Mary's
29,Dejounte Murray,SG,6-5,180,"September 19, 1996",us US,Washington
30,Dylan Windler,SF,6-6,196,"September 22, 1996",us US,Belmont
31,John Collins,PF,6-9,235,"September 23, 1997",us US,Wake Forest
32,Jarrett Culver,SF,6-6,195,"February 20, 1999",us US,Texas Tech
33,Aaron Holiday,PG,6-0,185,"September 30, 1996",us US,UCLA
34,Justin Holiday,SF,6-6,180,"April 5, 1989",us US,Washington
35,Frank Kaminsky,C,7-0,240,"April 4, 1993",us US,Wisconsin
36,Tyrese Martin,SG,6-6,215,"March 7, 1999",us US,"Rhode Island, UConn"
37,Donovan Williams,SG,6-6,190,"September 6, 2001",us US,"Texas, UNLV"
38,Cat Barber,PG,6-2,190,"July 25, 1994",us US,NC State
39,Chaundee Brown Jr.,SG,6-5,215,"December 4, 1998",us US,"Wake Forest, Michigan"
40,Sharife Cooper,PG,6-1,180,"June 11, 2001",us US,Auburn
41,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,Louisville
42,Danilo Gallinari,PF,6-10,233,"August 8, 1988",it IT,
43,Malcolm Hill,SG,6-6,220,"October 26, 1995",us US,Illinois
44,Solomon Hill,SF,6-6,226,"March 18, 1991",us US,Arizona
45,Kevin Huerter,SF,6-7,190,"August 27, 1998",us US,Maryland
46,Wes Iwundu,SF,6-6,195,"December 20, 1994",us US,Kansas State
47,Kevin Knox,SF,6-7,215,"August 11, 1999",us US,Kentucky
48,Timothe Luwawu-Cabarrot,SF,6-7,220,"May 9, 1995",fr FR,
49,Skylar Mays,SG,6-4,205,"September 5, 1997",us US,LSU
50,Cameron Oliver,SF,6-8,239,"July 11, 1996",us US,Nevada
51,Cam Reddish,SF,6-8,218,"September 1, 1999",us US,Duke
52,Lance Stephenson,SG,6-6,230,"September 5, 1990",us US,Cincinnati
53,Lou Williams,PG,6-2,175,"October 27, 1986",us US,
54,Delon Wright,SG,6-5,185,"April 26, 1992",us US,Utah
55,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,Providence
56,Brandon Goodwin,PG,6-0,180,"October 2, 1995",us US,"Central Florida, Florida Gulf Coast"
57,Nathan Knight,PF,6-8,253,"September 20, 1997",us US,William & Mary
58,Rajon Rondo,PG,6-1,180,"February 22, 1986",us US,Kentucky
59,Tony Snell,SG,6-6,213,"November 10, 1991",us US,New Mexico
60,DeAndre' Bembry,SG,6-5,210,"July 4, 1994",us US,Saint Joseph's
61,Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us US,Saint Joseph's
62,Vince Carter,PF,6-6,220,"January 26, 1977",us US,UNC
63,Allen Crabbe,SG,6-5,212,"April 9, 1992",us US,California
64,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us US,USC
65,Treveon Graham,SF,6-5,219,"October 28, 1993",us US,VCU
66,Damian Jones,C,6-11,245,"June 30, 1995",us US,Vanderbilt
67,Alex Len,C,7-0,250,"June 16, 1993",ua UA,Maryland
68,Jabari Parker,PF,6-8,245,"March 15, 1995",us US,Duke
69,Chandler Parsons,PF,6-9,230,"October 25, 1988",us US,Florida
70,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,Wake Forest
71,Evan Turner,SG,6-6,220,"October 27, 1988",us US,Ohio State
72,Tyrone Wallace,SG,6-5,198,"June 10, 1994",us US,California
73,Paul Watson,SF,6-6,210,"December 30, 1994",us US,Fresno State
74,Jaylen Adams,PG,6-0,225,"May 4, 1996",us US,St. Bonaventure
75,Justin Anderson,SF,6-6,230,"November 19, 1993",us US,Virginia
76,Kent Bazemore,SG,6-4,195,"July 1, 1989",us US,Old Dominion
77,Deyonta Davis,C,6-11,237,"December 2, 1996",us US,Michigan State
78,Tyler Dorsey,SG,6-5,183,"February 18, 1996",us US,Oregon
79,Daniel Hamilton,SG,6-7,195,"August 8, 1995",us US,UConn
80,Isaac Humphries,C,7-0,255,"January 5, 1998",au AU,Kentucky
81,B.J. Johnson,SF,6-7,200,"December 21, 1995",us US,"Syracuse, La Salle"
82,Jeremy Lin,PG,6-3,200,"August 23, 1988",us US,Harvard University
83,Miles Plumlee,C,6-11,249,"September 1, 1988",us US,Duke
84,Alex Poythress,PF,6-9,235,"September 6, 1993",us US,Kentucky
85,Taurean Prince,SF,6-6,218,"March 22, 1994",us US,Baylor
86,Jordan Sibert,SG,6-4,187,"August 1, 1992",us US,"Ohio State, Dayton"
87,Omari Spellman,PF,6-8,245,"July 21, 1997",us US,Villanova
88,Tyler Zeller,C,7-0,253,"January 17, 1990",us US,UNC
89,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,California
90,Torrey Craig,SF,6-7,221,"December 19, 1990",us US,USC Upstate
91,JD Davison,PG,6-1,195,"October 3, 2002",us US,Alabama
92,Sam Hauser,PF,6-8,215,"December 8, 1997",us US,"Marquette, Virginia"
93,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,UCLA
94,Al Horford,C,6-9,240,"June 3, 1986",do DO,Florida
95,Luke Kornet,C,7-2,250,"July 15, 1995",us US,Vanderbilt
96,Miles Norris,PF,6-10,220,"April 15, 2000",us US,"Oregon, City College of San Francisco, UC Santa Barbara"
97,Drew Peterson,PF,6-9,205,"November 9, 1999",us US,"Rice University, USC"
98,Kristaps Porzingis,C,7-2,240,"August 2, 1995",lv LV,
99,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,Oregon
100,Neemias Queta,C,7-0,245,"July 13, 1999",pt PT,Utah State University
101,Baylor Scheierman,SG,6-6,205,"September 26, 2000",us US,"South Dakota State, Creighton"
102,Jaden Springer,SG,6-4,204,"September 25, 2002",us US,Tennessee
103,Jayson Tatum,PF,6-8,210,"March 3, 1998",us US,Duke
104,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us US,Michigan State
105,Jordan Walsh,PF,6-7,205,"March 3, 2004",us US,Arkansas
106,Derrick White,SG,6-4,190,"July 2, 1994",us US,"Colorado-Colorado Springs, Colorado"
107,Dalano Banton,PG,6-9,204,"November 7, 1999",ca CA,Nebraska
108,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca CA,Syracuse
109,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,Kansas
110,Lamar Stevens,PF,6-6,230,"July 9, 1997",us US,Penn State
111,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,Virginia
112,Justin Champagnie,SF,6-6,200,"June 29, 2001",us US,Pitt
113,Blake Griffin,C,6-9,250,"March 16, 1989",us US,Oklahoma
114,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,UNC
115,Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca CA,Florida State
116,Mike Muscala,C,6-10,240,"July 1, 1991",us US,Bucknell
117,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,Oklahoma State
118,Noah Vonleh,C,6-10,257,"August 24, 1995",us US,Indiana
119,Grant Williams,PF,6-6,236,"November 30, 1998",us US,Tennessee
120,Robert Williams,C,6-9,237,"October 17, 1997",us US,Texas A&M
121,Malik Fitts,PF,6-8,230,"July 4, 1997",us US,"South Florida, Saint Mary's"
122,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,Kentucky
123,Juancho Hernangomez,PF,6-9,214,"September 28, 1995",es ES,
124,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,Arkansas
125,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,Indiana
126,Kelan Martin,SF,6-5,230,"August 3, 1995",us US,Butler
127,C.J. Miles,SG,6-6,220,"March 18, 1987",us US,
128,Juwan Morgan,PF,6-7,232,"April 17, 1997",us US,Indiana
129,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,Vanderbilt
130,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,Tennessee
131,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,"Notre Dame, Vanderbilt, Chattanooga"
132,Dennis Schroder,PG,6-1,172,"September 15, 1993",de DE,
133,Nik Stauskas,SG,6-6,205,"October 7, 1993",ca CA,Michigan
134,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,
135,Brodric Thomas,SG,6-5,185,"January 28, 1997",us US,Truman State University
136,Carsen Edwards,SG,5-11,200,"March 12, 1998",us US,Purdue
137,Tacko Fall,C,7-6,311,"December 10, 1995",sn SN,Central Florida
138,Evan Fournier,SF,6-6,205,"October 29, 1992",fr FR,
139,Javonte Green,SF,6-4,205,"July 23, 1993",us US,Radford
140,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,"Duke, SMU"
141,Tristan Thompson,C,6-9,254,"March 13, 1991",ca CA,Texas
142,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,Michigan
143,Kemba Walker,PG,6-0,184,"May 8, 1990",us US,UConn
144,Tremont Waters,PG,5-10,175,"January 10, 1998",us US,LSU
145,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,Butler
146,Vincent Poirier,C,7-0,235,"October 17, 1993",fr FR,
147,Brad Wanamaker,PG,6-3,210,"July 25, 1989",us US,Pitt
148,Aron Baynes,C,6-10,260,"December 9, 1986",nz NZ,Washington State
149,PJ Dozier,SG,6-6,205,"October 25, 1996",us US,South Carolina
150,R.J. Hunter,SG,6-5,185,"October 24, 1993",us US,Georgia State University
151,Kyrie Irving,PG,6-2,195,"March 23, 1992",au AU,Duke
152,Greg Monroe,C,6-11,265,"June 4, 1990",us US,Georgetown
153,Marcus Morris,PF,6-8,218,"September 2, 1989",us US,Kansas
154,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,Louisville
155,Guerschon Yabusele,PF,6-8,260,"December 17, 1995",fr FR,
156,Reece Beekman,PG,6-1,190,"October 8, 2001",us US,Virginia
157,Nic Claxton,C,6-11,215,"April 17, 1999",us US,Georgia
158,Noah Clowney,PF,6-10,210,"July 14, 2004",us US,Alabama
159,Cui Yongxi,SG,6-6,190,"May 28, 2003",cn CN,
160,Tyson Etienne,PG,6-2,203,"September 17, 1999",us US,Wichita State
161,Tosan Evbuomwan,SF,6-8,219,"February 16, 2001",uk UK,Princeton
162,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,Florida
163,Killian Hayes,PG,6-5,195,"July 27, 2001",us US,
164,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,"Pitt, UNC"
165,Keon Johnson,SG,6-5,186,"March 10, 2002",us US,Tennessee
166,Maxwell Lewis,SF,6-7,195,"July 27, 2002",us US,Pepperdine
167,Jaylen Martin,SF,6-6,216,"January 28, 2004",us US,
168,Dariq Whitehead,SF,6-7,220,"August 1, 2004",us US,Duke
169,Shake Milton,SG,6-5,205,"September 26, 1996",us US,SMU
170,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,Ohio State
171,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us US,UNC
172,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,LSU
173,Cam Thomas,SG,6-4,210,"October 13, 2001",jp JP,LSU
174,Drew Timme,PF,6-10,235,"September 9, 2000",us US,Gonzaga
175,Trendon Watford,PF,6-9,240,"November 9, 2000",us US,LSU
176,Ziaire Williams,SF,6-9,215,"September 12, 2001",us US,Stanford
177,Jalen Wilson,PF,6-8,225,"November 4, 2000",us US,Kansas
178,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us US,Ohio State
179,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,Villanova
180,Armoni Brooks,PG,6-3,195,"June 5, 1998",us US,Houston
181,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,Colorado
182,Harry Giles,C,6-11,240,"April 22, 1998",us US,Duke
183,Jacob Gilyard,PG,5-9,160,"July 14, 1998",us US,Richmond
184,Royce O'Neale,SF,6-4,226,"June 5, 1993",us US,"Denver, Baylor"
185,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us US,NC State
186,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us US,Miami (FL)
187,Moses Brown,C,7-2,245,"October 13, 1999",us US,UCLA
188,Seth Curry,SG,6-1,185,"August 23, 1990",us US,"Liberty, Duke"
189,David Duke Jr.,SG,6-5,205,"October 13, 1999",us US,Providence
190,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,Texas
191,Kessler Edwards,SF,6-8,215,"August 9, 2000",us US,Pepperdine
192,RaiQuan Gray,PF,6-8,260,"July 7, 1999",us US,Florida State
193,Joe Harris,SF,6-6,220,"September 6, 1991",us US,Virginia
194,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,Kansas
195,Nerlens Noel,C,6-10,220,"April 10, 1994",us US,Kentucky
196,Dru Smith,SG,6-3,203,"December 30, 1997",us US,"University of Evansville, Missouri"
197,Edmond Sumner,SG,6-4,196,"December 31, 1995",us US,Xavier
198,T.J. Warren,PF,6-8,220,"September 5, 1993",us US,NC State
199,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp JP,George Washington
200,Alondes Williams,SG,6-4,210,"June 19, 1999",us US,"Triton College, Oklahoma, Wake Forest"
201,LaMarcus Aldridge,C,6-11,250,"July 19, 1985",us US,Texas
202,Bruce Brown,SF,6-4,202,"August 15, 1996",us US,Miami (FL)
203,Jevon Carter,PG,6-1,200,"September 14, 1995",us US,West Virginia
204,Goran Dragic,PG,6-4,190,"May 6, 1986",si SI,
205,Andre Drummond,C,6-11,279,"August 10, 1993",us US,UConn
206,James Ennis III,SF,6-6,215,"July 1, 1990",us US,Cal State Long Beach
207,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd SD,Kentucky
